"player_name","salary","season","avg_pts_per_min"
"henry ellenson",1857480,2018,0.416941058373283
"demarcus cousins",15851950,2016,0.80246272036465
"ersan ilyasova",8400000,2017,0.417006228753902
"damyean dotson",1378242,2019,0.389176934188057
"devin harris",4402546,2018,0.409772374352759
"jakob poeltl",2947320,2019,0.338075632702952
"buddy hield",3517200,2017,0.518476947070741
"jordan farmar",2077000,2015,0.343307426755884
"jaylen nowell",1400000,2020,0.549947541382571
"mitchell robinson",1599712,2020,0.310208622169054
"kelly oubre jr.",2006640,2017,0.445986478853386
"dillon brooks",815615,2018,0.368489239109703
"mario hezonja",3909840,2017,0.399290193439626
"tomas satoransky",2870813,2017,0.311215256163453
"tim hardaway jr.",1304520,2016,0.532263971036575
"toney douglas",107676,2015,0.400629917620127
"mike conley",8694216,2015,0.479066386730755
"karl-anthony towns",5703600,2016,0.692604809119412
"luke kornet",2250000,2020,0.261441899296831
"harry giles iii",2578800,2020,0.36691153984904
"meyers leonard",9904495,2018,0.429504462982719
"marcus smart",11660716,2019,0.394960218262313
"mario hezonja",3741480,2016,Inf
"lavoy allen",4050000,2016,0.190029068586036
"devin harris",3878896,2015,0.382732832309625
"erick green",507336,2015,0.324308755760369
"lance stephenson",9e+06,2016,0.373687981439698
"noah vonleh",2524200,2015,0.2430112984882
"danny green",14634146,2020,0.339122792345226
"carsen edwards",1228026,2020,0.428049171556798
"gordon hayward",32700690,2020,0.582154433492034
"clint capela",13793104,2019,0.43622355630565
"bam adebayo",3454080,2020,0.559656172490635
"spencer hawes",5305000,2015,0.345465744887699
"terrance ferguson",2118840,2019,0.158586564904846
"kyle o'quinn",4449000,2019,0.348982215286395
"will barton",3533333,2016,0.473345076633695
"dirk nowitzki",5e+06,2018,0.472766050772944
"patty mills",10714286,2018,0.418795834459086
"willie cauley-stein",3704160,2018,0.441123445599628
"dejounte murray",2321735,2020,0.479751432499883
"brook lopez",19689000,2016,0.688684109759309
"evan turner",17131148,2018,0.273485642813076
"john henson",1987320,2015,0.416329253916533
"abdel nader",1378242,2019,0.425741217827211
"tim quarterman",543471,2017,0.333333333333333
"brandon jennings",8344497,2016,0.286963577053956
"salah mejri",1471382,2018,0.358269617697316
"luc mbah a moute",1471382,2018,0.295230263157895
"aaron harrison",525093,2016,0.210178412477263
"al jefferson",10314532,2017,0.500822158080183
"damian lillard",27977689,2019,0.776928717116078
"glenn robinson iii",4075000,2019,0.414247891720448
"kemba walker",1.2e+07,2018,0.731461563709871
"ryan arcidiacono",543471,2017,0.155406236275801
"donald sloan",1471382,2018,0.285714285714286
"channing frye",8193029,2016,0.515238031702942
"thaddeus young",11235955,2016,0.371480375651149
"bryn forbes",3125000,2019,0.462318783510134
"t.j. warren",2041080,2016,0.448594899474585
"ricky rubio",14975000,2019,0.423338483080748
