X,player_name,salary,season
2075,dakari johnson,815615,2018
1112,joe johnson,11000000,2017
2128,cameron jones,543471,2018
2832,josh jackson,7059480,2020
2235,demarre carroll,15400000,2019
3171,jeff green,439475,2020
689,nemanja bjelica,3950001,2016
2322,lonzo ball,7461960,2019
226,luke ridnour,2750000,2015
2304,jerami grant,8653847,2019
3138,stanton kidd,898310,2020
2268,kentavious caldwell-pope,12000000,2019
891,damien wilkins,947276,2016
1834,luke kennard,3275280,2018
2307,jerryd bayless,8575916,2019
1183,otto porter jr.,5893981,2017
2470,chandler hutchison,1990520,2019
3100,elie okobo,1416852,2020
2952,vincent poirier,2505793,2020
839,rj hunter,1148640,2016
3022,tyler lydon,1620564,2020
504,tyrus thomas,53838,2015
2904,donovan mitchell,3635760,2020
1553,ryan kelly,286785,2017
828,andre roberson,1210800,2016
1250,mike miller,3500000,2017
1310,cameron payne,2112480,2017
1576,justin harper,57672,2017
2476,deandre liggins,1795015,2019
1911,pascal siakam,1544951,2018
813,andrea bargnani,1362897,2016
1045,allen crabbe,18500000,2017
189,andrei kirilenko,3326235,2015
2072,t.j. williams,815615,2018
1311,denzel valentine,2092200,2017
544,khris middleton,14700000,2016
1533,trey freeman,543471,2017
88,avery bradley,7191011,2015
165,ian mahinmi,4000000,2015
212,randy foye,3000000,2015
3071,paul zipser,1544951,2020
1602,jrue holiday,25686667,2018
219,marcus morris sr.,2943221,2015
3145,eric paschall,898310,2020
613,anthony davis,7070730,2016
2196,kevin love,24119025,2019
251,jeremy lamb,2202000,2015
1166,aron baynes,6500000,2017
1025,chris bosh,23741060,2017
633,kyle korver,5746479,2016
2440,justin anderson,2516048,2019
423,brandon davies,816482,2015
729,nik stauskas,2869440,2016
1458,grant jerrett,874636,2017
687,thabo sefolosha,4000000,2016
1583,patricio garino,31969,2017
2388,stanley johnson,3940402,2019
1353,tyus jones,1339680,2017
739,darrell arthur,2814000,2016
232,kirk hinrich,2732000,2015
1609,kevin love,24119025,2018
838,damjan rudez,1149500,2016
2029,jordan farmar,980431,2018
1499,jalen jones,543471,2017
1184,nikola mirotic,5782450,2017
2788,deandre jordan,9881598,2020
3164,chris clemons,563347,2020
1427,gerald green,980431,2017
1298,taurean prince,2318280,2017
2394,frank kaminsky,3627842,2019
2996,omari spellman,1897800,2020
74,monta ellis,8360000,2015
902,richard jefferson,947276,2016
1617,marc gasol,22642350,2018
2553,channing frye,1512601,2019
3012,marshon brooks,1656092,2020
1957,ian clark,1471382,2018
787,dennis schroder,1763400,2016
1650,evan fournier,17000000,2018
326,andre roberson,1160880,2015
432,justin holiday,816482,2015
1953,jarell martin,1471382,2018
2252,eric gordon,13500375,2019
16,marc gasol,15829688,2015
1942,kevon looney,1471382,2018
1461,alan williams,874636,2017
862,kris humphries,1000000,2016
3117,rodney purvis,1378242,2020
2857,jason smith,5450000,2020
3047,jordan bell,1620564,2020
785,jusuf nurkic,1842000,2016
980,cliff alexander,525093,2016
181,gerald green,3500000,2015
3016,jordan mcrae,1645357,2020
2861,alexis ajinca,5285394,2020
1771,kristaps porzingis,5697054,2018
1420,metta world peace,980431,2017
1039,deandre jordan,21165675,2017
1582,gary payton ii,35116,2017
3157,isaiah briscoe,838464,2020
3149,alen smailagic,898310,2020
2363,patrick beverley,5027028,2019
483,john lucas iii,269189,2015
1567,ray mccallum,121112,2017
1902,richaun holmes,1600520,2018
756,myles turner,2357760,2016
2320,jeremy lamb,7488372,2019
2326,d.j. augustin,7250000,2019
3049,vince carter,1620564,2020
1699,terrence ross,10500000,2018
2916,dario saric,3481986,2020
2579,thomas bryant,1378242,2019
1579,jarrett jack,57672,2017
761,ramon sessions,2170465,2016
1159,boban marjanovic,7000000,2017
2794,deandre ayton,9562920,2020
3072,amile jefferson,1529007,2020
2112,drew crawford,543471,2018
2477,malik beasley,1773840,2019
990,joe johnson,261894,2016
2860,lauri markkanen,5300400,2020
56,demar derozan,10100000,2015
765,kelly olynyk,2165160,2016
1303,luc mbah a moute,2203000,2017
1794,ron baker,4544000,2018
1435,jorge gutierrez,980431,2017
2367,mike muscala,5000000,2019
