X,game_id,season
4308,21700842,2017
7237,21500713,2015
6977,21500969,2015
2776,21800994,2018
3715,21800055,2018
376,22000821,2020
6312,21600217,2016
2064,21900331,2019
6736,21501207,2015
5286,41600162,2016
1772,21900619,2019
1558,21900836,2019
6804,21501141,2015
5339,21601191,2016
5942,21600586,2016
1506,21900889,2019
1156,22000100,2020
383,22000810,2020
4393,21700754,2017
5601,21600930,2016
3726,21800040,2018
3520,21800262,2018
5323,21601206,2016
4014,21701142,2017
329,22000867,2020
7691,21500247,2015
4878,21700269,2017
7756,21500179,2015
3582,21800196,2018
4104,21701046,2017
6753,21501191,2015
6693,41500153,2015
1297,41900131,2019
5954,21600572,2016
5904,21600634,2016
3193,21800578,2018
2799,21800976,2018
4429,21700714,2017
906,22000363,2020
5676,21600850,2016
5206,11700020,2017
6616,11600013,2016
7012,21500935,2015
2698,21801077,2018
6098,21600431,2016
2952,21800819,2018
5010,21700139,2017
7734,21500214,2015
128,22001052,2020
5953,21600571,2016
3764,21800006,2018
7403,21500549,2015
5915,21600617,2016
6229,21600300,2016
4784,21700373,2017
825,22000446,2020
3337,21800441,2018
4745,21700409,2017
6313,21600218,2016
2502,41800211,2018
7590,21500356,2015
7682,21500254,2015
6527,21600013,2016
3490,21800280,2018
4456,21700700,2017
86,52000211,2020
6914,21501035,2015
4247,21700897,2017
2911,21800853,2018
2978,21800803,2018
1507,21900890,2019
2743,21801028,2018
1471,21900928,2019
6005,21600522,2016
5997,21600529,2016
2974,21800799,2018
1539,21900861,2019
7147,21500792,2015
4300,21700864,2017
1061,22000198,2020
4803,21700339,2017
834,22000562,2020
6876,21501056,2015
2167,21900229,2019
1791,21900611,2019
3114,21800661,2018
5973,21600567,2016
4739,21700417,2017
1470,21900927,2019
2736,21801037,2018
2017,21900387,2019
1959,21900430,2019
909,22000366,2020
4954,21700194,2017
2261,21900135,2019
528,22000674,2020
3660,21800113,2018
3111,21800658,2018
5975,21600553,2016
6989,21500954,2015
3711,21800066,2018
435,22000755,2020
1960,21900431,2019
1245,41900234,2019
7028,21500918,2015
7410,21500527,2015
1029,22000232,2020
6150,21600375,2016
6442,21600090,2016
800,22000478,2020
7947,11500103,2015
5126,21700017,2017
4469,21700686,2017
5863,21600669,2016
7297,21500652,2015
2864,21800908,2018
2232,21900162,2019
6850,21501094,2015
7009,21500932,2015
7353,21500589,2015
1947,21900448,2019
550,22000073,2020
1737,21900658,2019
6789,21501164,2015
6491,21600036,2016
4834,21700325,2017
487,22000713,2020
5814,21600711,2016
7496,21500446,2015
1925,21900485,2019
3244,21800532,2018
6622,11600009,2016
7300,21500641,2015
581,22000043,2020
3369,21800415,2018
2924,21800850,2018
6821,21501127,2015
1639,21900759,2019
3827,11800019,2018
4591,21700558,2017
5457,21601078,2016
1927,21900467,2019
3455,21800329,2018
84,42000111,2020
5764,21600765,2016
2401,11900078,2019
4698,21700465,2017
5432,21601099,2016
4946,21700212,2017
7372,21500574,2015
1244,41900216,2019
6286,21600252,2016
5625,21600908,2016
1591,21900817,2019
6192,21600342,2016
6440,21600088,2016
27,42000204,2020
4326,21700831,2017
3935,21701214,2017
2925,21800851,2018
4847,21700310,2017
2128,21900277,2019
5498,21601029,2016
7427,21500515,2015
6641,41500313,2015
6123,21600408,2016
1752,21900646,2019
1329,21901294,2019
5468,21601061,2016
2870,21800900,2018
4802,21700352,2017
5419,21601118,2016
7749,21500190,2015
928,22000349,2020
2019,21900372,2019
1479,21900922,2019
5408,21601122,2016
4578,21700571,2017
527,22000673,2020
2292,21900109,2019
3140,21800633,2018
5453,21601074,2016
3907,41700172,2017
217,22000957,2020
3867,41700233,2017
6867,21501078,2015
1760,21900638,2019
2701,21801065,2018
3081,21800699,2018
3732,21800046,2018
6300,21600233,2016
6652,41500235,2015
3957,21701192,2017
7807,21500128,2015
5933,21600592,2016
4793,21700356,2017
6785,21501160,2015
6060,21600475,2016
246,22000938,2020
5316,21601213,2016
1534,21900872,2019
5478,21601055,2016
1334,21901287,2019
7855,21500090,2015
1393,11900128,2019
1880,21900522,2019
5656,21600880,2016
4921,21700231,2017
6272,21600253,2016
4606,21700547,2017
7535,21500404,2015
8032,11500012,2015
6483,21600052,2016
4679,21700477,2017
969,22000301,2020
3108,21800669,2018
3912,41700122,2017
6751,21501188,2015
3430,21800348,2018
7858,21500093,2015
6066,21600466,2016
6166,21600362,2016
6875,21501072,2015
4971,21700183,2017
5712,21600816,2016
3766,21800008,2018
3450,21800324,2018
7785,21500164,2015
910,22000351,2020
3355,21800416,2018
3270,21800509,2018
5962,21600568,2016
2697,21801076,2018
4913,21700235,2017
4719,21700432,2017
7121,21500819,2015
7034,21500910,2015
3021,21800751,2018
7409,21500526,2015
422,22000771,2020
496,22000694,2020
4775,21700382,2017
2111,21900290,2019
3224,21800552,2018
3776,11800075,2018
1455,21900942,2019
4450,21700708,2017
5415,21601114,2016
7325,21500621,2015
7902,21500043,2015
6447,21600081,2016
5241,41600224,2016
1263,41900176,2019
7941,21500002,2015
4502,21700651,2017
3998,21701144,2017
4387,21700761,2017
1929,21900469,2019
187,22000183,2020
3340,21800430,2018
1969,21900421,2019
5208,11700022,2017
3655,21800122,2018
1887,21900514,2019
495,22000706,2020
4549,21700613,2017
445,22000750,2020
7854,21500089,2015
5634,21600903,2016
653,22000630,2020
2233,21900163,2019
3791,11800063,2018
